issue_date,created_at,amount_due,county,fine_amount,interest_amount,issuing_agency,judgment_entry_date,license_type,payment_amount,penalty_amount,plate,precinct,reduction_amount,state,summons_number,violation,violation_status,violation_time
2024-12-01T10:00:00.000000-0500,2024-12-15T02:49:19.526000-0500,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,LBF9303,0,0.0,NY,4928557463,PHTO SCHOOL ZN SPEED VIOLATION,,02:16P
2023-09-03T08:00:00.000000-0400,2023-09-10T11:02:44.457000-0400,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,Y83PBM,0,0.0,NJ,4860975431,PHTO SCHOOL ZN SPEED VIOLATION,,11:37A
2024-11-27T10:00:00.000000-0500,2024-12-08T02:52:14.979000-0500,0.0,BX,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,XNEC51,0,0.0,NJ,4927877826,PHTO SCHOOL ZN SPEED VIOLATION,,02:41A
2025-03-09T09:00:00.000000-0400,2025-03-16T01:37:31.879000-0400,78.16,BX,50.0,3.16,DEPARTMENT OF TRANSPORTATION,,PAS,0.0,25.0,LHH4312,0,0.0,PA,4939720780,PHTO SCHOOL ZN SPEED VIOLATION,,05:59P
2024-01-06T10:00:00.000000-0500,2024-01-16T16:02:48.918000-0500,0.0,BK,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,FLW6323,0,0.0,NY,4880407720,PHTO SCHOOL ZN SPEED VIOLATION,,12:56P
2024-05-31T08:00:00.000000-0400,2024-06-17T21:39:14.872000-0400,0.0,BK,50.0,0.32,DEPARTMENT OF TRANSPORTATION,,PAS,75.3,25.0,YBB144,0,0.02,SC,4900647354,PHTO SCHOOL ZN SPEED VIOLATION,,06:37P
2025-03-24T08:00:00.000000-0400,2025-03-30T02:12:20.552000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JLR2618,0,0.0,NY,4941354667,PHTO SCHOOL ZN SPEED VIOLATION,,01:37A
2025-05-31T08:00:00.000000-0400,2025-06-15T01:40:43.564000-0400,0.0,QN,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,0.0,JRN5930,0,0.0,NY,4949967400,PHTO SCHOOL ZN SPEED VIOLATION,,10:07A
2023-06-02T08:00:00.000000-0400,2023-06-12T13:40:50.941000-0400,0.0,ST,50.0,0.0,DEPARTMENT OF TRANSPORTATION,,PAS,50.0,25.0,JKN3138,0,25.0,NY,4844208214,PHTO SCHOOL ZN SPEED VIOLATION,,09:46P
2024-03-21T08:00:00.000000-0400,2024-03-31T01:32:14.971000-0400,0.0,BK,50.0,0.04,DEPARTMENT OF TRANSPORTATION,2024-06-13T04:00:00.000000-0400,PAS,75.0,25.0,F16MRC,0,0.04,NJ,4889735902,PHTO SCHOOL ZN SPEED VIOLATION,,10:00A
